Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BOKF,BOK Financial Corporation,85.78,5610699870,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokf
BRCD,"Brocade Communications Systems, Inc.",12.65,5187059775,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/brcd
BRKR,Bruker Corporation,28.18,4507030211,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/brkr
BWLD,"Buffalo Wild Wings, Inc.",143.85,2321777696,n/a,2003,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bwld
CHRW,"C.H. Robinson Worldwide, Inc.",69.09,9733966429,n/a,1997,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/chrw
CDNS,"Cadence Design Systems, Inc.",34.4,9618274400,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns
CACQ,Caesars Acquisition Company,20.4,2832905099,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cacq
CBF,Capital Bank Financial Corp.,38.7,2011103434,n/a,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/cbf
CFFN,"Capitol Federal Financial, Inc.",14.62,2020509366,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cffn
CASY,"Caseys General Stores, Inc.",108.69,4260449206,n/a,1983,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/casy
CATY,Cathay General Bancorp,39.11,3122295968,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty
CAVM,"Cavium, Inc.",67.99,4615238981,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm
CDK,"CDK Global, Inc.",61.1,8871341608,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk
CDW,CDW Corporation,61.56,9670376986,n/a,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw
CDEV,"Centennial Resource Development, Inc.",15.34,3470318498,n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdev
